person;beverage;percetage;size;time
jones;pils;4,5;33;2022-06-25 18:07:48,207455
jones;riga mule;4,5;50;2022-06-25 19:32:56,376129
jones;pils;4,5;33;2022-06-25 20:57:20,041047
jones;ipa;5,2;33;2022-06-25 21:00:16,995437
jones;ipa;5,2;33;2022-06-25 22:29:56,397918
jones;Riga balsam ;30,0;2;2022-06-25 22:42:42,778293
jones;Riga balsam ;45,0;2;2022-06-25 23:28:47,170921
jones;ipa;5,2;33;2022-06-25 23:28:52,899150
jones;Riga balsam ;30,0;2;2022-06-25 23:47:14,472249
jules;vand;0,0;33;2022-06-25 18:09:01,185753
jules;vand;0,0;33;2022-06-25 18:09:04,691220
jules;vand;0,0;33;2022-06-25 18:09:05,800892
jules;vand;0,0;33;2022-06-25 18:09:06,768592
jules;pils;4,5;33;2022-06-25 18:53:25,427374
jules;pils;4,5;33;2022-06-25 18:53:27,597472
jules;pils;4,5;33;2022-06-25 18:53:35,828215
jules;riga mule;4,5;50;2022-06-25 19:32:56,377176
jules;pils;4,5;33;2022-06-25 19:59:14,181684
jules;ipa;5,2;33;2022-06-25 21:06:25,209792
jules;ipa;5,2;33;2022-06-25 22:29:56,385219
jules;ipa;5,2;33;2022-06-25 22:40:12,208369
jules;vand;0,0;33;2022-06-25 22:41:11,180718
jules;vand;0,0;33;2022-06-25 22:41:12,436816
jules;vand;0,0;33;2022-06-25 23:28:29,461727
jules;vand;0,0;33;2022-06-25 23:28:29,949593
jules;riga mule;4,5;50;2022-06-25 23:28:32,034012
tb;pils;4,5;33;2022-06-25 18:53:35,829231
tb;riga mule;4,5;50;2022-06-25 19:32:56,378432
tb;pils;4,5;33;2022-06-25 19:59:14,183343
tb;ipa;5,2;33;2022-06-25 20:58:48,788951
tb;ipa;5,2;33;2022-06-25 22:29:56,400916
tb;vand;0,0;33;2022-06-25 22:40:32,591352
tb;Riga balsam ;30,0;2;2022-06-25 22:42:42,779293
tb;Riga balsam ;45,0;2;2022-06-25 23:28:47,170921
tb;Riga balsam ;30,0;2;2022-06-25 23:47:14,473803
Razz;riga mule;4,5;50;2022-06-25 19:32:56,379723
